id	af	s	gen	h	1000_rep0_dom.hs_segr.txt
1956931	4	-0.056796	9780	0.130215	1005_rep4_dom.hs_segr.txt
1911642	36	-0.0157936	9555	0.279379	1005_rep4_dom.hs_segr.txt
1992293	1	-0.0128213	9957	0.30468	1005_rep4_dom.hs_segr.txt
2000630	1	-0.00484721	9999	0.40246	1005_rep4_dom.hs_segr.txt
1979579	14	-0.00174803	9893	0.459812	1005_rep4_dom.hs_segr.txt
1969446	1	-0.00258632	9843	0.442746	1005_rep4_dom.hs_segr.txt
1991460	1	-0.0201545	9953	0.249038	1005_rep4_dom.hs_segr.txt
1987293	1	-0.0401538	9932	0.16624	1005_rep4_dom.hs_segr.txt
2000219	1	-0.184603	9998	0.048875	1005_rep4_dom.hs_segr.txt
1987415	3	-0.071651	9932	0.10911	1005_rep4_dom.hs_segr.txt
1943228	1	-0.0362137	9712	0.177893	1005_rep4_dom.hs_segr.txt
1988175	1	-0.0113984	9936	0.318488	1005_rep4_dom.hs_segr.txt
1994475	2	-0.0879776	9968	0.0926118	1005_rep4_dom.hs_segr.txt
1976457	1	-0.0396594	9877	0.167618	1005_rep4_dom.hs_segr.txt
1997947	1	-0.0181674	9986	0.262003	1005_rep4_dom.hs_segr.txt
2000247	1	-0.0130274	9998	0.302779	1005_rep4_dom.hs_segr.txt
1997855	1	-0.0660622	9985	0.116195	1005_rep4_dom.hs_segr.txt
1996643	1	-0.0439986	9979	0.156253	1005_rep4_dom.hs_segr.txt
1994210	5	-0.089326	9967	0.0914696	1005_rep4_dom.hs_segr.txt
1995935	1	-0.038496	9975	0.170952	1005_rep4_dom.hs_segr.txt
1966325	1	-0.259372	9827	0.0357945	1005_rep4_dom.hs_segr.txt
1863228	53	-0.00672417	9312	0.374193	1005_rep4_dom.hs_segr.txt
1974895	3	-0.0496047	9870	0.143668	1005_rep4_dom.hs_segr.txt
2000648	1	-0.0647512	10000	0.117992	1005_rep4_dom.hs_segr.txt
1992255	1	-0.00176672	9957	0.459417	1005_rep4_dom.hs_segr.txt
1928729	1	-0.126808	9640	0.0681163	1005_rep4_dom.hs_segr.txt
1986533	1	-0.0474213	9928	0.148321	1005_rep4_dom.hs_segr.txt
1986536	3	-0.0338628	9928	0.185657	1005_rep4_dom.hs_segr.txt
1996727	1	-0.00537573	9979	0.394077	1005_rep4_dom.hs_segr.txt
1998677	1	-0.0437567	9990	0.156846	1005_rep4_dom.hs_segr.txt
1938623	9	-0.00643934	9690	0.378224	1005_rep4_dom.hs_segr.txt
1960386	14	-0.0037834	9798	0.420461	1005_rep4_dom.hs_segr.txt
1868663	2	-0.013161	9339	0.301559	1005_rep4_dom.hs_segr.txt
1998964	1	-0.0429816	9991	0.158776	1005_rep4_dom.hs_segr.txt
1964727	4	-0.00308232	9819	0.433232	1005_rep4_dom.hs_segr.txt
1997628	2	-0.0903317	9984	0.0906358	1005_rep4_dom.hs_segr.txt
1998853	1	-0.0935552	9991	0.0880629	1005_rep4_dom.hs_segr.txt
1981064	3	-0.00802965	9900	0.356765	1005_rep4_dom.hs_segr.txt
1999519	1	-0.0946818	9994	0.0871978	1005_rep4_dom.hs_segr.txt
1993247	1	-0.0335881	9962	0.186608	1005_rep4_dom.hs_segr.txt
1983021	1	-0.0203109	9910	0.248072	1005_rep4_dom.hs_segr.txt
1989513	1	-0.00122043	9943	0.471244	1005_rep4_dom.hs_segr.txt
1975232	3	-0.0793098	9871	0.100695	1005_rep4_dom.hs_segr.txt
1983561	3	-0.067512	9913	0.11427	1005_rep4_dom.hs_segr.txt
1986971	2	-0.021568	9930	0.24057	1005_rep4_dom.hs_segr.txt
1957858	5	-0.0105274	9785	0.327574	1005_rep4_dom.hs_segr.txt
1948615	5	-0.0733445	9739	0.10713	1005_rep4_dom.hs_segr.txt
1984985	1	-0.0361933	9920	0.177957	1005_rep4_dom.hs_segr.txt
1996719	2	-0.0178522	9979	0.264185	1005_rep4_dom.hs_segr.txt
1966024	13	-0.0291365	9826	0.203515	1005_rep4_dom.hs_segr.txt
1982307	6	-0.0457263	9907	0.152146	1005_rep4_dom.hs_segr.txt
1976072	2	-0.0329872	9875	0.188725	1005_rep4_dom.hs_segr.txt
1981931	2	-0.00808877	9905	0.356014	1005_rep4_dom.hs_segr.txt
1997314	1	-0.013365	9982	0.299716	1005_rep4_dom.hs_segr.txt
1981608	7	-0.0217943	9903	0.239267	1005_rep4_dom.hs_segr.txt
1994090	2	-0.0331602	9966	0.188111	1005_rep4_dom.hs_segr.txt
1975237	2	-0.014545	9871	0.289477	1005_rep4_dom.hs_segr.txt
1961375	2	-0.0355905	9803	0.179887	1005_rep4_dom.hs_segr.txt
1994773	1	-0.00800676	9970	0.357057	1005_rep4_dom.hs_segr.txt
1998889	1	-0.00642487	9991	0.378431	1005_rep4_dom.hs_segr.txt
1998443	1	-0.00305262	9988	0.43379	1005_rep4_dom.hs_segr.txt
1692931	1	-0.00522028	8461	0.396506	1005_rep4_dom.hs_segr.txt
1872588	7	-0.0191293	9359	0.255563	1005_rep4_dom.hs_segr.txt
1960672	1	-0.0228065	9799	0.233609	1005_rep4_dom.hs_segr.txt
1992714	2	-0.00633469	9959	0.379727	1005_rep4_dom.hs_segr.txt
